ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
4478,Municipal Solid Waste Treatment by Composting in Ghaziabad Nagar Nigam,Multiple Proponents,Waste handling and disposal,,AMS-III.F.,Under validation,India,47562,Asia,,2021-11-01,2028-10-31
4472,Wu Cheng Geothermal Based Space Heating System,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AM0072,Under validation,China,62054,Asia,,2021-11-08,2031-11-07
4473,Karidja forest restoration project,aDryada,Agriculture Forestry and Other Land Use,ARR,Methodology Under Development,Under development,Cote D'Ivoire,878000,Africa,,2022-03-01,2063-02-28
4474,Santa Nicolasa North Patagonia Regenerative Grazing Project,Solmat Agropecuaria SA,Agriculture Forestry and Other Land Use,ALM,VM0026,Under development,Argentina,71123,Latin America,,2020-09-01,2040-08-31
4475,Kijani Forestry smallholder farmer forestry project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Uganda,317846,Africa,,2022-01-01,2061-12-31
4476,Grouped Project Sul da Bahia,The Green Branch,Agriculture Forestry and Other Land Use,ARR,Methodology Under Development,Under development,Brazil,174095,Latin America,,,
4467,TSH GROUPED BIOGAS RECOVERY PROJECT,TSH Resources Berhad,Waste handling and disposal,,AMS-I.D.; AMS-I.F.; AMS-III.H.,Under development,Indonesia,103174,Asia,,,
4468,Weixin Urban and Rural Organic Waste Management Center in Yunnan Province,"Shanghai Yuanben Biology Science and Technology Co., Ltd.",Waste handling and disposal,,ACM0022,Under validation,China,184560,Asia,,2021-12-12,2031-12-11
4469,Zonguldak Landfill Gas to Electricity Project,Arel Yenilenebilir Enerji Teknolojileri ve Elektrik Üretim Ltd. Şti.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Under validation,Turkey,79423,Middle East,,2021-06-28,2028-06-27
4462,Forestal RioAquidaban (FRA),global-woods international AG,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Rejected by Administrator,Paraguay,4500,Latin America,,2000-03-01,2030-02-28
4463,Land Life Reforestation and Restoration on Degraded Land in Australia,Land Life Company BV,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Australia,4578,Oceania,,2020-06-22,2120-06-21
4464,Kenya Organic Waste Diversion and Bioconversion Project,"Native, a Public Benefit Corporation",Waste handling and disposal,,ACM0022,Under validation,Kenya,5493,,,2023-01-01,2029-12-31
4454,The project of Kitchen and catering waste Disposal Phase II in Wuchang area,"Wuhan Carbon Ring Ecology Co., Ltd.",Waste handling and disposal,,ACM0022,Under validation,China,65280,Asia,,2023-05-01,2033-04-30
4455,XINJIANG MAKIT COUNTY WINDBREAK AND SAND FIXATION ECOLOGICAL FOREST CONSTRUCTION BASE PROJECT,Shenzhen Vanke Millennial Development Co. Ltd.,Agriculture Forestry and Other Land Use,ARR; IFM,ACM0003,Under validation,China,544207,Asia,,2020-08-01,2080-07-31
4456,CREATING LIVELIHOOD  OPPORTUNITIES  AND CARBON CREDIT INCOME FOR  SMALLHOLDER FARMERS  THROUGH  HORTICULTURAL PLANTATIONS IN  BANGLADESH,Varaha ClimateAg Private Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under development,Bangladesh,167587,Asia,,2020-06-15,2040-06-14
4457,Tramontana ICS-01 - The Distribution of Improved Cookstoves to Indigenous Communities across Rural India,Tramontana Impact Limited,Energy demand,,VMR0006,Under validation,India,1947460,Asia,,2023-01-21,2030-01-20
4458,DEVELOPING CARBON PROJECT FOR FARMERS ADOPTING REGENERATIVE AGRICULTURAL  PRACTICES IN GUJARAT STATE,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,India,1046945,Asia,,2020-06-07,2040-06-06
4459,Developing Climate Resilience Of The Residential Society In Hyderabad Through Miyawaki Afforestation: Urban Forest Development,SOW AND REAP AGRO PVT LTD,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under development,India,1271,Asia,,2021-05-23,2051-05-22
4460,"GreenShift: Catalyzing regenerative agriculture ecosystem for smallholder farmers in India, through carbon finance",Varaha ClimateAg Private Limited,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,India,4505732,Asia,,2020-06-07,2040-06-06
4461,REDD+ Tauari Forest Conservation Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Brazil,3933759,Latin America,,2022-08-26,2052-08-25
4453,Regenerate Outcomes Farming Project,Regenerate Outcomes Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,United Kingdom,2599,Europe,,2021-09-01,2051-08-31
4451,Ejin Banner Improved Grassland Management Project,"Henan Province Yemeixiang Eco-Agriculture Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,561083,Asia,,2020-06-20,2060-06-19
4449,The High Impact carbon farming program of Bulgaria,UAB Heavy Finance,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Bulgaria,76200,Europe,,2020-08-01,2040-07-31
4450,ORDOS CITY AFFORESTATION PROJECT IN INNER MONGOLIA AUTONOMOUS REGION,"Ordos Guorui Carbon Asset Management Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,China,6801,Asia,,2021-04-01,2041-03-31
4448,Raízes do Bem Grouped ARR Project,Future Carbon Holding S.A.,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under development,Brazil,522,Latin America,,2020-10-15,2080-10-14
4443,Jinan Pingyin Youran Dairy Cattle Manure Management Project,"Jinan Youran Animal Husbandry Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registration and verification approval requested,China,35133,Asia,,2021-09-05,2028-09-04
4439,Yecheng Grassland Sustainable Management Project (Phase 1),Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0026,Under development,China,240926,Asia,,2020-05-29,2060-05-28
4441,Upstream Emission Reductions Through Beneficial Use of Waste Flare Gas Energy at Seaboard Flare Removal Project,Verde Seaboard Partners LP,Energy industries (renewable/non-renewable sources); Manufacturing industries,,AMS-III.Q,Under development,United States,2557,North America,,2022-09-23,2032-09-22
4437,Biogas Project by Empower Capital in Egypt,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.D.; AMS-III.H.,Under validation,Egypt,35556,Africa,,2023-06-30,2030-06-29
4435,Cobram Estate Olives Regenerative Farming Project,Carbon Friendly Pty Ltd,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Australia,55722,Oceania,,2020-06-01,2040-05-31
4429,Management of Community Forests for the Reduction of Deforestation in the Peruvian Amazon,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Peru,1039475,Latin America,,2021-07-01,2041-06-30
4430,Reflorestamento de Impacto no Brasil Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,Brazil,215,Latin America,,2023-01-01,2062-12-31
4426,HIVE EV Charging project,MOCHA COMPANY,Transport,,VM0038,Under validation,South Korea,1210,Asia,,2023-08-01,2033-07-31
4423,NEW HOPE AWMS GHG Mitigation Project In Anhui Province,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registration requested,China,126761,Asia,,2021-08-01,2028-07-31
4422,Inner Mongolia Kuduer Improved Forest Management Project.,"Kuduer Forest Industry Co., LTD",Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,China,101933,Asia,,2020-05-20,2050-05-19
4416,Improved Cookstove Grouped Project in Papua New Guinea,Tasman Environmental Markets Asia Pacific Pte. Ltd.,Energy demand,,VMR0006,Under validation,Papua New Guinea,572936,Oceania,,,
4417,Grouped bio gas recovery project by EKI Energy Services Ltd,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.F.; AMS-III.D.,Under validation,India,7317,Asia,,2022-09-19,2029-09-18
4418,The chestnut groves of Calabria and Campania,GAIA s.r.l. Società Agricola,Agriculture Forestry and Other Land Use,ALM,VM0026; AR-ACM0003; VM0042,Under validation,Italy,94208,Europe,,2023-04-30,2063-04-29
4419,Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Colombia,1067300,Latin America,,2020-05-20,2040-05-19
4413,Household Biogas Program for Smallholder Farmers in India by SPEF and NDDB,EKI Energy Services Limited,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,AMS-I.E.; AMS-III.R.,Registration and verification approval requested,India,12319,Asia,,2021-08-13,2028-08-12
4414,Waste to Bio CNG project by United Bio Energy Private Limited,UNITED BIOENERGY PRIVATE LIMITED,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-III.AO.; AMS-III.AQ,Under development,India,46173,Asia,,2023-04-01,2030-03-31
4412,Xiding AWMS GHG Mitigation Project,"Xiding Technology Group Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registration and verification approval requested,China,82738,Asia,,2021-08-19,2031-08-18
4411,Xinzhou Echeng Afforestation Project,Jingle County Sailing Carbon Sink Development Co. LTD,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Under validation,China,332773,Asia,,2020-07-01,2080-06-30
4396,GROUPED PROJECTS FOR HOPE TAP (SUPPLY OF CAP-TYPE CERAMIC FILTER WATER PURIFIERS)IN VIET NAM,TAB Co Ltd,Energy demand,,AMS-III.AV.,Under validation,Viet Nam,200,Asia,,2023-04-15,2033-04-14
4397,Jilin Zhenlai Improved Agricultural Land Management Project,"Fujian Huanrong Environmental Protection Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,110000,Asia,,2021-09-27,2061-09-26
4398,Jilin Dehui Improved Crop Management Project,"Fujian Huanrong Environmental Protection Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,348773,Asia,,2020-09-25,2060-09-24
4399,Heilongjiang Shuangcheng Improved Agricultural Land Management Project,"Harbin Shuangxiang Infrastructure Construction Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,723139,Asia,,2020-10-08,2030-10-07
4400,Improved Cropland Management Project in Morin Dawa,"Morin Dawa Agriculture and Animal Husbandry Investment Co., Ltd. in Hulunbuir City of Inner Mongolia",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,1015078,Asia,,2020-11-01,2120-10-31
4402,Guangxi Jiabao Composting Project,"Guangxi Jiabao Ecological Agricultural Technology Development Co.,Ltd","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Under validation,China,54726,Asia,,2022-07-01,2032-06-30
4403,CEKEREK BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AMS-I.D.; AMS-III.D.,Under validation,Turkey,50727,Middle East,,2021-06-29,2028-06-28
4404,ELAZIG BIOGAS POWER PLANT,Multiple Proponents,Waste handling and disposal,,AM0073,Under validation,Turkey,84101,Middle East,,2021-06-30,2028-06-29
4395,Alter Biogas ll Project,WABIO Technology Holding Ltd.,Agriculture Forestry and Other Land Use; Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.AO.; VM0042,Under validation,Serbia,56369,Europe,,,
4392,Jinhui sustainable grassland management project,"Tianjun County Jinhui State-owned Assets Investment Operation Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,739285,Asia,,2020-06-22,2060-06-21
4394,Jatobá REDD+ Project,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0007,Under validation,Brazil,181360,Latin America,,2020-04-26,2050-04-25
4385,Distribution of Fuel Efficient Improved Cookstoves in Tanzania,Green Wave Africa Pty Ltd,Energy demand,,VMR0006,Under validation,Tanzania,3740040,Africa,,2023-10-01,2030-09-30
4386,Distribution of Fuel Efficient Improved Cookstoves in Ethiopia,Green Wave Africa Pty Ltd,Energy demand,,VMR0006,Under validation,Ethiopia,1788715,Africa,,2023-10-01,2030-09-30
4388,Jiangsu Jiangyan Improved Agricultural Land Management Project,"Starwe (Nanjing) International Investment Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,96210,Asia,,2020-05-31,2060-05-30
4389,Zano-Souri solar power,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Burkina Faso,317217,Africa,,2023-07-25,2030-07-24
4390,Jiangsu Guanyun Improved Agricultural Land Management Project,"Fujian Huanrong Environmental Protection Co., Ltd",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,315778,Asia,,2020-06-01,2060-05-31
4391,Amazon Partners 1,"Amazon Partners, LLC",Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Brazil,345167,,,2022-12-01,2052-11-30
4382,MSW to Compost through BSF Rearing process,Ento Proteins Private Limited,Waste handling and disposal,,AMS-III.F.,Under validation,India,53859,Asia,,2021-08-09,2028-08-08
4383,Lankao Geothermal Based Space Heating System,"Lankao Green Energy Clean Energy Co., Ltd",Energy industries (renewable/non-renewable sources),,AM0072,Under validation,China,81289,Asia,,2021-11-15,2031-11-14
4376,Haishang Biogas Recovery and Utilization Project,"Shaoyang County Haishang Ecological Agriculture Technology Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registration requested,China,58300,,,2022-01-01,2031-12-31
4377,Guangdong Huaiji County IFM (conversion of logged to protected forest) Project,"Huaiji County Weizhou Construction Investment and Development Group Co., Ltd",Agriculture Forestry and Other Land Use,IFM,VM0010,Under validation,China,107124,Asia,,2020-11-01,2040-10-31
4374,Sequoia cookstoves in Benin,Sequoia Plantation Benin SAU,Energy demand,,VMR0006,Registration requested,Benin,951875,Africa,,2023-03-20,2030-03-19
4375,Gannan Improved Agricultural Land Management Project,ChinaOnecarbon Co. Ltd.,Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,China,289065,Asia,,2020-11-15,2040-11-14
4369,TIANZHU IMPROVED GRASSLAND MANAGEMENT PROJECT,"Zhejiang Zhongzheng Forestry Development Co.,Ltd",Agriculture Forestry and Other Land Use,ALM,VM0026,Under validation,China,276772,Asia,,2020-07-01,2060-06-30
4370,Shaanxi Zheng Neng AWMS GHG Mitigation Project,"Shaanxi Zhengneng Agriculture and Animal Husbandry Technology Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,222634,Asia,,2021-11-01,2028-10-31
4368,"Waste to Energy Project in Chennai, Tamil Nadu",Srinivas Waste Management Services Private Limited,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,India,29088,Asia,,2021-11-15,2028-11-14
4367,Zhenyuan Swine Farm AWMS GHG Mitigation Project,Multiple Proponents,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Under validation,China,32028,Asia,,2022-12-01,2029-11-30
4357,Jingzhou AWMS GHG Mitigation Project in Hubei Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registration requested,China,362494,Asia,,2021-09-17,2031-09-16
4358,Xiangyang AWMS GHG Mitigation Project in Hubei Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registration requested,China,45735,Asia,,2021-09-21,2031-09-20
4359,Liaoning Anshan Swine Farm AWMS Project,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registration requested,China,206551,Asia,,2021-09-24,2031-09-23
4360,Animal Waste Management Systems Biogas Recovery Project in Liaoning Fuxin,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registration requested,China,99866,Asia,,2021-09-20,2031-09-19
4361,Animal Waste Management Systems Biogas Recovery Project in Liaoning Jinzhou,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registration requested,China,148626,Asia,,2021-10-11,2031-10-10
